snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url
2026-07-08,2772792551,BL69UQ,Hyundai,i20 1.0 T-GDi Style MY25,2024,Gasolina,28861,19250,100,Manual,Hyundai,Évora,Évora,28/06/2024,https://www.amatoscar.pt/carro-usado/hyundai-i20-1-0-t-gdi-style-my25-2772792551/
2026-07-08,2772792550,BG69SI,Hyundai,Bayon 1.0 T-GDi DCT Premium MY23,2024,Gasolina,39511,21250,100,Manual,Hyundai,Évora,Évora,29/01/2024,https://www.amatoscar.pt/carro-usado/hyundai-bayon-1-0-t-gdi-dct-premium-my23-2772792550/
2026-07-08,2772791346,BJ30VU,Hyundai,i20 1.2 MPi Comfort MY24,2024,Gasolina,36164,17450,84,Manual,Hyundai,Évora,Évora,27/05/2024,https://www.amatoscar.pt/carro-usado/hyundai-i20-1-2-mpi-comfort-my24-2772791346/
2026-07-08,2772788272,AZ37GG,Hyundai,Bayon 1.0 T-GDi Premium MY21,2023,Gasolina,68066,16450,100,Manual,Hyundai,Évora,Évora,16/03/2023,https://www.amatoscar.pt/carro-usado/hyundai-bayon-1-0-t-gdi-premium-my21-2772788272/
2026-07-08,2772346179,AB18MC,Hyundai,Kauai 1.0T-GDi Premium TT,2020,Gasolina,98764,15950,120,Manual,Hyundai,Évora,Évora,30/06/2020,https://www.amatoscar.pt/carro-usado/hyundai-kauai-1-0t-gdi-premium-tt-2772346179/
2026-07-08,2772343747,AN34RV,Peugeot,3008 Allure HYBRID 225cv e-EAT8,2022,Híbrido,134669,22450,225,Automática,,Évora,Évora,31/01/2022,https://www.amatoscar.pt/carro-usado/peugeot-3008-allure-hybrid-225cv-e-eat8-2772343747/
2026-07-08,2772327677,BH18CO,Hyundai,Tucson 1.6 TGDi Premium,2024,Gasolina,35818,28450,150,Manual,Hyundai,Évora,Évora,14/02/2024,https://www.amatoscar.pt/carro-usado/hyundai-tucson-1-6-tgdi-premium-2772327677/
2026-07-08,2772298447,AO67UL,Hyundai,Kauai 1.0 T-GDi Premium MY21,2022,Gasolina,74994,17950,120,Manual,Hyundai,Évora,Évora,23/03/2022,https://www.amatoscar.pt/carro-usado/hyundai-kauai-1-0-t-gdi-premium-my21-2772298447/
2026-07-08,2772239099,BI26VB,Nissan,JUKE 1.0 DIG-T 114cv Tekna,2024,Gasolina,35000,21250,114,Manual,Tekna,Évora,Évora,16/04/2024,https://www.amatoscar.pt/carro-usado/nissan-juke-1-0-dig-t-114cv-tekna-2772239099/
2026-07-08,2772237655,15TP34,Peugeot,2008 Allure 1.2 PureTech 82 CVM5,2017,Gasolina,135583,10450,82,Manual,,Évora,Évora,26/09/2017,https://www.amatoscar.pt/carro-usado/peugeot-2008-allure-1-2-puretech-82-cvm5-2772237655/
