snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url,registo_completo
2026-09-14,2772899005,96IQ04,Abarth,500 1.4 16V Turbo T-jet 135cv,2010,Gasolina,133547,11950,135,Manual,Hyundai,Beja,Beja,19/01/2010,https://www.amatoscar.pt/carro-usado/abarth-500-1-4-16v-turbo-t-jet-135cv-2772899005/,1
2026-09-14,2772898154,BL80HV,Hyundai,Tucson 1.6 CRDi 115cv Vanguard,2024,Diesel,21589,29950,115,Manual,Hyundai,Beja,Beja,14/06/2024,https://www.amatoscar.pt/carro-usado/hyundai-tucson-1-6-crdi-115cv-vanguard-2772898154/,1
2026-09-14,2772872710,74UA37,Isuzu,D-Max D-MAX 1.9 CAB DUPLA 4X4 L,2017,Diesel,204000,23450,163,Manual,Isuzu,Beja,Beja,22/12/2017,https://www.amatoscar.pt/carro-usado/isuzu-d-max-d-max-1-9-cab-dupla-4x4-l-2772872710/,1
2026-09-14,2772817127,77VF51,Alfa Romeo,Mito 1.3 JTDM,2018,Diesel,133539,10000,95,Manual,Hyundai,Beja,Beja,08/08/2018,https://www.amatoscar.pt/carro-usado/alfa-romeo-mito-1-3-jtdm-2772817127/,1
2026-09-14,2772234529,46TF42,Isuzu,D-Max 1.9 CAB LONGA 4X4 LS,2017,Diesel,135664,24450,164,Manual,Isuzu,Beja,Beja,28/06/2017,https://www.amatoscar.pt/carro-usado/isuzu-d-max-1-9-cab-longa-4x4-ls-2772234529/,1
2026-09-14,2772319239,BU01XN,Volvo,XC40 B3 163cv Plus Dark Auto,2025,Híbrido,30000,38450,163,Automática,Volvo,Castelo Branco,Castelo Branco,01/07/2025,https://www.amatoscar.pt/carro-usado/volvo-xc40-b3-163cv-plus-dark-auto-2772319239/,1
2026-09-14,2772319236,BT88IF,Volvo,XC60 2.0 T6 350 AWD PHEV Plus Dark Auto,2025,Híbrido,24808,54750,350,Automática,Volvo,Castelo Branco,Castelo Branco,15/05/2025,https://www.amatoscar.pt/carro-usado/volvo-xc60-2-0-t6-350-awd-phev-plus-dark-auto-2772319236/,1
2026-09-14,2772911149,BC15PQ,Kia,Stonic 1.2 CVVT ISG MOVE,2023,Gasolina,59911,16450,84,Manual,KIA,Fundão,Castelo Branco,24/07/2023,https://www.amatoscar.pt/carro-usado/kia-stonic-1-2-cvvt-isg-move-2772911149/,1
2026-09-14,2772906036,BT89IV,Kia,Stonic 1.2 MPi 5MT DYNAMIC,2025,Gasolina,,17750,79,Manual,KIA,Fundão,Castelo Branco,16/05/2025,https://www.amatoscar.pt/carro-usado/kia-stonic-1-2-mpi-5mt-dynamic-2772906036/,1
2026-09-14,2772906035,BT92VV,Kia,Picanto 1.0 MPi 5MT URBAN,2025,Gasolina,22072,16450,63,Manual,KIA,Fundão,Castelo Branco,02/06/2025,https://www.amatoscar.pt/carro-usado/kia-picanto-1-0-mpi-5mt-urban-2772906035/,1
